mof_id,pore_dimension,PLD,LCD,SSA,porosity,density,capa_mass,capa_volume,095_current
imof-1,1,9.77107,11.0026,1220.49,0.2493,1.201809812,97.88499538,117.6391479,0.175368452
imof-2,1,21.10511,21.23594,1370.48,0.38338,0.743564834,92.10452261,68.48568406,1.157086202
imof-3,1,11.53323,12.06278,1217.8,0.25528,1.010613993,85.10475033,86.00805155,0.40184446
imof-4,3,11.58862,17.9886,3953.88,0.4426,0.489585452,173.5301092,84.95781701,1.035413275
imof-5,3,15.81306,16.66087,3555.2,0.61336,0.452965591,111.1972615,50.36853325,2.178598133
imof-6,1,13.12808,13.48818,2124.57,0.29736,0.67480931,149.8680484,101.1323543,0.801275666
imof-7,1,10.15731,10.36245,2393.76,0.26472,0.685538233,188.3529998,129.1231827,0.923871887
imof-8,1,4.79381,5.84784,1418.12,0.06972,1.011039858,31.11104301,31.45450452,0.049096801
imof-9,1,13.7619,14.18866,1455.75,0.28146,0.873537979,104.6362551,91.40374273,0.28621757
imof-10,1,9.8956,10.01975,753.668,0.1441,1.230239844,59.43765365,73.12256977,0.051589304
imof-11,1,5.17503,5.90697,921.976,0.04774,1.144945868,63.98820257,73.26302816,0.06799518
imof-12,1,7.08286,7.20739,1254.74,0.11832,1.122624715,66.63642468,74.80769724,0.039353707
imof-13,1,5.32046,5.74447,688.041,0.03904,1.292950588,41.41179326,53.54340244,0.033603679
imof-14,3,11.56289,18.05221,4585.78,0.47012,0.444302815,182.8593113,81.24490679,1.140314818
imof-15,1,10.22825,13.96597,1507.33,0.26116,0.982838261,103.6005604,101.8225946,0.308902231
imof-16,1,19.99958,20.32176,1309.01,0.39324,0.815335304,86.99263866,70.92816946,0.643321564
imof-17,1,6.92784,7.34894,939.959,0.0924,1.149045339,50.98035494,58.57873924,0.090104732
imof-18,3,28.01403,28.95944,7369.93,0.86968,0.087070039,211.0446537,18.37566617,13.37812672
imof-19,3,9.41033,18.8317,3255.15,0.4773,0.539455626,146.3422603,78.94515563,0.624297452
imof-20,1,4.70858,6.28136,521.827,0.02826,1.232954646,35.56052187,43.84451067,0.041884066
imof-21,2,4.5387,6.38086,1306.95,0.05028,0.951044164,61.78994649,58.76496801,0.061782613
imof-22,1,10.49521,11.05775,1243.62,0.23456,1.013520559,87.10906668,88.28682993,0.277919613
imof-23,1,8.6687,9.29844,817.815,0.1179,1.094674359,72.26839177,79.11035541,0.199072188
imof-24,1,5.36087,6.78679,496.773,0.0281,1.138245087,34.75660506,39.56153496,0.057493708
imof-25,1,8.73686,9.28124,801.213,0.1273,1.245378417,23.43269827,29.18257667,0.223014514
imof-26,3,3.87776,6.04958,1232.74,0.06802,1.095241559,88.7515317,97.20436593,0.028095872
imof-27,3,13.94167,20.44286,3882.77,0.54614,0.423092564,156.8114691,66.34576652,2.475607562
imof-28,3,13.52105,14.99657,1838.88,0.23146,0.796098656,127.7007482,101.662394,0.484364136
imof-29,3,14.34495,17.44674,2601.97,0.34646,0.66767467,149.8904665,100.0780677,0.655210977
imof-30,3,5.55328,11.95644,3125.27,0.21492,0.698189194,157.1833322,109.743704,0.124958998
imof-31,1,11.7086,12.54064,1168.59,0.18442,0.840483205,99.75775974,83.8447216,0.257738086
imof-32,1,22.14552,22.26165,1901.21,0.44454,0.590939284,130.1549969,76.91370072,2.007383179
imof-33,1,4.98427,6.08417,830.734,0.03836,1.136007971,49.77783176,56.54801364,0.064914863
imof-34,3,6.58825,10.206,2715.69,0.23994,0.751433258,149.8743175,112.6205467,0.121430414
imof-35,2,4.34687,4.89156,1642.06,0.0467,1.224721956,65.99897458,80.83039321,0.036922767
imof-36,3,11.47362,17.02601,5095.98,0.56278,0.34910858,192.8992348,67.34277786,1.788246603
imof-37,3,26.34525,27.04811,6673.96,0.84506,0.110577627,209.9078769,23.21111496,7.040588533
imof-38,1,23.06462,23.37742,2037.51,0.46802,0.532860927,143.2971753,76.35746563,2.200252709
imof-39,1,14.73753,15.01658,1486.5,0.32862,0.803906276,112.0684664,90.0925435,0.873314147
imof-40,3,12.81787,20.09739,2253.37,0.49222,0.73823031,84.94295432,62.70746348,0.90900536
imof-41,1,6.06291,6.41783,1138.66,0.0937,1.233652755,59.91461049,73.91382429,0.212916573
imof-42,3,15.32515,21.84844,5785.16,0.66104,0.246600285,233.2527446,57.5201934,2.494834224
imof-43,1,8.7721,8.99693,1868.9,0.21326,1.001720284,129.6659914,129.8890537,0.214302872
imof-44,3,5.14666,6.94033,1187.47,0.06716,1.09163091,31.22869196,34.09020543,0.076779169
imof-45,1,5.73689,7.07359,391.337,0.04468,1.794455027,15.98453929,28.68353689,0.029339959
imof-46,1,9.97887,10.89977,1329.69,0.24332,1.127796335,104.6430274,118.0160228,0.200656533
imof-47,1,18.44198,18.80716,1647.11,0.36902,0.696603267,112.9404205,78.67466595,0.615590314
imof-48,3,13.94275,20.40624,5013.21,0.56746,0.354378762,196.3434201,69.57993825,2.031908306
imof-49,3,15.27025,20.62714,3165.04,0.5501,0.489781869,124.5804403,61.01724095,1.845868889
imof-50,3,5.63445,8.23504,3793.45,0.20866,0.679921146,142.3762199,96.80460261,0.240290758
imof-51,1,6.25187,6.51369,1391.61,0.09518,0.97909554,74.13829752,72.58847642,0.043282223
imof-52,1,8.35572,8.95362,1297.6,0.14956,1.044168246,107.7160305,112.4736586,0.246336716
imof-53,1,8.55009,8.88589,828.921,0.1121,1.148454981,19.21833835,22.07139641,0.304795781
imof-54,1,18.49356,19.12534,2222.03,0.48214,0.615065891,117.3796924,72.19624504,1.167518996
imof-55,3,9.68828,10.71035,4790.59,0.3892,0.455138454,217.8750272,99.16330314,0.751202778
imof-56,1,5.85009,7.6603,1025.82,0.119,1.39649879,41.82955552,58.41492367,0.041762142
imof-57,1,5.73387,9.1783,1394.69,0.11302,0.92726498,68.78458683,63.78153855,0.077963912
imof-58,3,6.11638,13.68088,1979.71,0.30372,1.020359251,86.12900967,87.88253179,0.127496149
imof-59,3,12.8278,16.64977,5309.49,0.50492,0.359035435,212.7109669,76.37077443,1.702389064
imof-60,1,20.22687,20.57791,1838.67,0.43054,0.632173812,121.6814336,76.9238158,1.781270057
imof-61,1,20.50073,20.81816,1544.32,0.4268,0.748631313,95.34489793,71.37817613,1.53563363
imof-62,3,15.23544,20.46157,4925.72,0.59104,0.333803987,196.715581,65.66444534,2.582410822
imof-63,1,10.45064,11.83103,2339.58,0.28842,0.70041788,159.1802972,111.4927262,0.615822149
imof-64,3,7.34189,10.11294,4357.66,0.33412,0.577759057,155.1924162,89.66382401,0.565263069
imof-65,1,17.90881,18.32237,1255.64,0.35142,0.8054927,82.26377984,66.26287412,1.007806152
imof-66,1,5.16918,8.8808,899.979,0.08066,1.018573802,33.7444854,34.37124879,0.119120214
imof-67,3,9.75044,11.21899,1260.93,0.16084,1.002234104,34.07621227,34.15234207,0.085256501
imof-68,1,7.42743,7.89233,1589.23,0.14348,0.960723752,86.43372414,83.03893174,0.112448683
imof-69,1,5.09817,5.58097,848.759,0.02816,0.822071125,79.12775299,65.04864093,0.040590036
imof-70,1,8.30411,9.04814,744.13,0.10808,1.154172072,55.66679992,64.24906584,0.113293221
imof-71,3,8.18128,13.3723,4714.34,0.40192,0.44455416,211.9722991,94.2331674,0.290734875
imof-72,3,11.51017,17.42778,3587.32,0.47454,0.512336536,131.2921521,67.26576645,1.583184734
imof-73,1,11.33451,11.51418,1203.76,0.22046,0.972632252,97.07316268,94.41648885,0.462146276
imof-74,3,12.71257,13.31324,1506.24,0.21228,0.783852407,120.912247,94.77735587,0.277525666
imof-75,1,21.74813,22.02458,1341.82,0.40252,0.729530442,92.37872439,67.3930916,0.903243413
imof-76,1,14.14385,14.49679,1722.18,0.32416,0.703829755,125.1442741,88.08026374,1.208224512
imof-77,3,13.91955,20.28128,3446.82,0.52346,0.470684495,140.7414656,66.24482572,2.213478776
imof-78,3,9.07865,16.51901,4272.63,0.52702,0.433445144,140.1289426,60.73820974,1.255258565
imof-79,1,7.65648,8.16704,2933.14,0.16846,0.646294085,190.4231212,123.0693369,0.252927924
imof-80,1,10.71849,12.02364,2294.99,0.29424,0.703759296,157.4883322,110.8338778,0.50841039
imof-81,1,6.31779,6.54127,1354.52,0.083,0.970429012,141.7580868,137.5661601,0.13568702
imof-82,1,6.42259,8.72622,1080.86,0.1208,1.243023521,30.85792052,38.357121,0.081545082
imof-83,1,10.39963,12.46754,2796.83,0.30396,0.612848078,185.6553312,113.7785129,0.637146335
imof-84,3,7.97341,11.98323,3337.17,0.29618,0.597425853,194.9644559,116.4768064,0.157507538
imof-85,3,8.58772,10.97164,4060.72,0.4187,0.509551612,152.8313765,77.87547417,1.248215611
imof-86,1,21.21969,21.49773,2097.98,0.4523,0.538504761,150.5307292,81.06151439,1.992517346
imof-87,1,17.87815,18.28524,1266.91,0.35824,0.814274484,83.25051436,67.78876958,0.936332921
imof-88,3,15.22999,20.45166,4649.22,0.57936,0.352354267,184.920868,65.15765681,2.031340495
imof-89,3,13.04556,20.23572,3603.85,0.5171,0.495976837,131.8678038,65.40337617,1.563745411
imof-90,3,14.89716,20.58035,3033.32,0.54672,0.528266413,116.0966331,61.32995193,1.554595377
imof-91,3,12.97385,20.37907,3939.98,0.54136,0.420622357,145.361083,61.14212135,1.150925496
imof-92,1,6.42168,7.22961,1578.62,0.07446,1.115597118,88.32397534,98.5339723,0.043315755
imof-93,1,6.84157,7.47498,455.806,0.06634,1.66341286,17.83773951,29.67152529,0.040542795
imof-94,1,9.7086,10.74305,1228.66,0.24588,1.203685467,96.32008829,115.9390905,0.18821406
imof-95,1,6.00177,7.39729,655.022,0.05436,1.158430025,15.98848484,18.52154089,0.069031023
imof-96,3,15.19041,20.47727,4990.48,0.58544,0.329059697,210.1103607,69.1388517,2.368287606
imof-97,1,5.55358,7.07039,439.332,0.03294,1.27761892,14.22782814,18.17774243,0.14978268
imof-98,1,7.81133,9.73673,689.439,0.09978,1.276279733,25.12341097,32.06450026,0.014410637
imof-99,1,20.23786,20.58524,1260.08,0.368,0.776273287,86.55769113,67.19242344,0.66403202
imof-100,1,20.36891,20.7168,1282.12,0.3712,0.770470851,87.75149521,67.6099692,0.872403037
